use_case_id,department,use_case_name,ai_type,risk_rating,compliance_impact,estimated_value_sar,implementation_complexity,human_oversight_required,current_status
UC-021,Credit Risk,Credit Risk AI use case 21,Traditional ML,Low,Low,5015000,Low,Yes,Evaluation
UC-022,Compliance,Compliance AI use case 22,Decisioning,High,Low,5230000,Medium,Yes,Pilot
UC-023,Operations,Operations AI use case 23,Computer Vision,Medium,Low,5445000,High,Yes,Production
UC-024,Wealth Management,Wealth Management AI use case 24,GenAI,Low,Low,5660000,Low,No,Idea
UC-025,Treasury,Treasury AI use case 25,Traditional ML,High,Low,5875000,Medium,Yes,Evaluation
UC-026,Internal Audit,Internal Audit AI use case 26,Decisioning,Medium,Low,6090000,High,Yes,Pilot
UC-027,Legal,Legal AI use case 27,Computer Vision,Low,Low,6305000,Low,Yes,Production
UC-028,Marketing,Marketing AI use case 28,GenAI,High,Low,6520000,Medium,No,Idea
UC-029,IT,IT AI use case 29,Traditional ML,Medium,Low,6735000,High,Yes,Evaluation
UC-030,Customer Service,Customer Service AI use case 30,Decisioning,Low,Low,6950000,Low,Yes,Pilot
UC-031,Credit Risk,Credit Risk AI use case 31,Computer Vision,High,Low,7165000,Medium,Yes,Production
UC-032,Compliance,Compliance AI use case 32,GenAI,Medium,Low,7380000,High,No,Idea
UC-033,Operations,Operations AI use case 33,Traditional ML,Low,Low,7595000,Low,Yes,Evaluation
UC-034,Wealth Management,Wealth Management AI use case 34,Decisioning,High,Low,7810000,Medium,Yes,Pilot
UC-035,Treasury,Treasury AI use case 35,Computer Vision,Medium,Low,8025000,High,Yes,Production
UC-036,Internal Audit,Internal Audit AI use case 36,GenAI,Low,Low,8240000,Low,No,Idea
UC-037,Legal,Legal AI use case 37,Traditional ML,High,Low,8455000,Medium,Yes,Evaluation
UC-038,Marketing,Marketing AI use case 38,Decisioning,Medium,Low,8670000,High,Yes,Pilot
UC-039,IT,IT AI use case 39,Computer Vision,Low,Low,8885000,Low,Yes,Production
UC-040,Customer Service,Customer Service AI use case 40,GenAI,High,Low,9100000,Medium,No,Idea
UC-041,Credit Risk,Credit Risk AI use case 41,Traditional ML,Medium,Low,9315000,High,Yes,Evaluation
UC-042,Compliance,Compliance AI use case 42,Decisioning,Low,Low,9530000,Low,Yes,Pilot
UC-043,Operations,Operations AI use case 43,Computer Vision,High,Low,9745000,Medium,Yes,Production
UC-044,Wealth Management,Wealth Management AI use case 44,GenAI,Medium,Low,9960000,High,No,Idea
UC-045,Treasury,Treasury AI use case 45,Traditional ML,Low,Low,10175000,Low,Yes,Evaluation
UC-046,Internal Audit,Internal Audit AI use case 46,Decisioning,High,Low,10390000,Medium,Yes,Pilot
UC-047,Legal,Legal AI use case 47,Computer Vision,Medium,Low,10605000,High,Yes,Production
UC-048,Marketing,Marketing AI use case 48,GenAI,Low,Low,10820000,Low,No,Idea
UC-049,IT,IT AI use case 49,Traditional ML,High,Low,11035000,Medium,Yes,Evaluation
UC-050,Customer Service,Customer Service AI use case 50,Decisioning,Medium,Low,11250000,High,Yes,Pilot
UC-051,Credit Risk,Credit Risk AI use case 51,Computer Vision,Low,Low,11465000,Low,Yes,Production
UC-052,Compliance,Compliance AI use case 52,GenAI,High,Low,11680000,Medium,No,Idea
UC-053,Operations,Operations AI use case 53,Traditional ML,Medium,Low,11895000,High,Yes,Evaluation
UC-054,Wealth Management,Wealth Management AI use case 54,Decisioning,Low,Low,12110000,Low,Yes,Pilot
UC-055,Treasury,Treasury AI use case 55,Computer Vision,High,Low,12325000,Medium,Yes,Production
UC-056,Internal Audit,Internal Audit AI use case 56,GenAI,Medium,Low,12540000,High,No,Idea
UC-057,Legal,Legal AI use case 57,Traditional ML,Low,Low,12755000,Low,Yes,Evaluation
UC-058,Marketing,Marketing AI use case 58,Decisioning,High,Low,12970000,Medium,Yes,Pilot
UC-059,IT,IT AI use case 59,Computer Vision,Medium,Low,13185000,High,Yes,Production
UC-060,Customer Service,Customer Service AI use case 60,GenAI,Low,Low,13400000,Low,No,Idea
